symbol,entry_time,exit_time,entry_price,exit_price,size,pnl,confluence
EURUSD,2003-05-13T16:00:00+00:00,2003-05-15T03:00:00+00:00,1.14988,1.14444,14091.0060,76.65507,
EURUSD,2003-05-15T02:00:00+00:00,2003-05-15T03:00:00+00:00,1.14667,1.14464,37800.2799,76.73457,
EURUSD,2003-05-15T02:00:00+00:00,2003-05-15T03:00:00+00:00,1.14667,1.14667,12600.0933,0.00000,
EURUSD,2003-05-12T15:00:00+00:00,2003-05-15T04:00:00+00:00,1.15417,1.14570,3200.4727,27.10800,
EURUSD,2003-05-13T00:00:00+00:00,2003-05-15T04:00:00+00:00,1.15134,1.14570,3588.6842,20.24018,
EURUSD,2003-05-13T16:00:00+00:00,2003-05-15T04:00:00+00:00,1.14988,1.14570,4697.0020,19.63347,
EURUSD,2003-05-15T05:00:00+00:00,2003-05-15T08:00:00+00:00,1.14374,1.14570,53080.0816,-104.03696,
EURUSD,2003-05-15T07:00:00+00:00,2003-05-15T09:00:00+00:00,1.14443,1.14637,40220.4742,78.02772,
EURUSD,2003-05-15T07:00:00+00:00,2003-05-15T10:00:00+00:00,1.14443,1.14589,13406.8247,19.57396,
EURUSD,2003-05-13T07:00:00+00:00,2003-05-15T17:00:00+00:00,1.14848,1.13957,8539.2188,76.08444,
EURUSD,2003-05-15T08:00:00+00:00,2003-05-15T17:00:00+00:00,1.14563,1.14194,27912.3551,-102.99659,
EURUSD,2003-05-15T09:00:00+00:00,2003-05-15T17:00:00+00:00,1.14744,1.14194,18868.5214,-103.77687,
EURUSD,2003-05-15T12:00:00+00:00,2003-05-15T17:00:00+00:00,1.14729,1.14194,19434.1322,-103.97261,
EURUSD,2003-05-15T13:00:00+00:00,2003-05-15T17:00:00+00:00,1.14469,1.14098,21018.7211,77.97946,
EURUSD,2003-05-15T13:00:00+00:00,2003-05-15T17:00:00+00:00,1.14469,1.14469,7006.2404,0.00000,
EURUSD,2003-05-13T01:00:00+00:00,2003-05-15T18:00:00+00:00,1.14809,1.13879,8171.8238,75.99796,
EURUSD,2003-05-13T07:00:00+00:00,2003-05-15T18:00:00+00:00,1.14848,1.14100,2846.4063,21.29112,
EURUSD,2003-05-13T01:00:00+00:00,2003-05-15T19:00:00+00:00,1.14809,1.13952,2723.9413,23.34418,
EURUSD,2003-05-15T20:00:00+00:00,2003-05-15T22:00:00+00:00,1.13847,1.13736,70008.1879,77.70909,
EURUSD,2003-05-15T20:00:00+00:00,2003-05-15T22:00:00+00:00,1.13847,1.13847,23336.0626,0.00000,
EURUSD,2003-05-15T23:00:00+00:00,2003-05-16T00:00:00+00:00,1.13838,1.13702,76756.7713,-104.38921,
EURUSD,2003-05-16T04:00:00+00:00,2003-05-16T06:00:00+00:00,1.14084,1.13993,113566.2822,-103.34532,
EURUSD,2003-05-16T06:00:00+00:00,2003-05-16T09:00:00+00:00,1.13948,1.14135,54712.2266,-102.31186,
EURUSD,2003-05-15T22:00:00+00:00,2003-05-16T12:00:00+00:00,1.13780,1.14765,10597.8892,-104.38921,
EURUSD,2003-05-16T09:00:00+00:00,2003-05-16T12:00:00+00:00,1.14198,1.14721,14525.1546,75.96656,
EURUSD,2003-05-16T09:00:00+00:00,2003-05-16T13:00:00+00:00,1.14198,1.14796,4841.7182,28.95347,
EURUSD,2003-05-15T03:00:00+00:00,2003-05-16T14:00:00+00:00,1.14420,1.15184,13529.7308,-103.36714,
EURUSD,2003-05-16T17:00:00+00:00,2003-05-16T18:00:00+00:00,1.15317,1.15504,53615.1775,-100.26038,
EURUSD,2003-05-16T16:00:00+00:00,2003-05-16T19:00:00+00:00,1.15429,1.15604,42968.7351,75.19529,
EURUSD,2003-05-16T16:00:00+00:00,2003-05-16T20:00:00+00:00,1.15429,1.15613,14322.9117,26.35416,
EURUSD,2003-05-08T17:00:00+00:00,2003-05-18T21:00:00+00:00,1.14837,1.16599,4476.9845,78.88447,
EURUSD,2003-05-08T19:00:00+00:00,2003-05-18T21:00:00+00:00,1.14966,1.16516,5089.3205,78.88447,
EURUSD,2003-05-08T17:00:00+00:00,2003-05-18T22:00:00+00:00,1.14837,1.16631,1492.3282,26.77237,
EURUSD,2003-05-08T19:00:00+00:00,2003-05-18T22:00:00+00:00,1.14966,1.16631,1696.4402,28.24573,
EURUSD,2003-05-19T00:00:00+00:00,2003-05-19T01:00:00+00:00,1.16672,1.16938,28872.5027,76.80086,
EURUSD,2003-05-19T00:00:00+00:00,2003-05-19T01:00:00+00:00,1.16672,1.16672,9624.1676,0.00000,
EURUSD,2003-05-16T18:00:00+00:00,2003-05-19T02:00:00+00:00,1.15511,1.17032,4894.3678,74.44333,
EURUSD,2003-05-16T18:00:00+00:00,2003-05-19T03:00:00+00:00,1.15511,1.16873,1631.4559,22.22043,
EURUSD,2003-05-19T06:00:00+00:00,2003-05-19T07:00:00+00:00,1.16833,1.17078,42504.4037,-104.13579,
EURUSD,2003-05-19T07:00:00+00:00,2003-05-19T09:00:00+00:00,1.16859,1.17124,38903.5589,-103.09443,
EURUSD,2003-05-19T08:00:00+00:00,2003-05-19T09:00:00+00:00,1.16884,1.17120,32763.0607,77.32082,
EURUSD,2003-05-19T08:00:00+00:00,2003-05-19T09:00:00+00:00,1.16884,1.16884,10921.0202,0.00000,
EURUSD,2003-05-19T09:00:00+00:00,2003-05-19T13:00:00+00:00,1.17135,1.16406,14106.5425,-102.83670,
EURUSD,2003-05-20T01:00:00+00:00,2003-05-20T02:00:00+00:00,1.16411,1.16589,42896.7674,76.35625,
EURUSD,2003-05-20T01:00:00+00:00,2003-05-20T02:00:00+00:00,1.16411,1.16411,14298.9225,0.00000,
EURUSD,2003-05-20T04:00:00+00:00,2003-05-20T05:00:00+00:00,1.16513,1.16642,79513.0934,-102.57189,
EURUSD,2003-05-20T05:00:00+00:00,2003-05-20T06:00:00+00:00,1.16605,1.16728,61918.3973,76.15963,
EURUSD,2003-05-20T05:00:00+00:00,2003-05-20T06:00:00+00:00,1.16605,1.16605,20639.4658,0.00000,
EURUSD,2003-05-19T20:00:00+00:00,2003-05-20T08:00:00+00:00,1.16566,1.16205,28201.7529,-101.80833,
EURUSD,2003-05-20T02:00:00+00:00,2003-05-20T08:00:00+00:00,1.16557,1.16205,29139.7416,-102.57189,
EURUSD,2003-05-20T03:00:00+00:00,2003-05-20T08:00:00+00:00,1.16537,1.16205,30895.1477,-102.57189,
