time_utc,open,high,low,close
2004-06-16T00:00:00Z,1.21465,1.21677,1.19787,1.20022
2004-06-17T00:00:00Z,1.20035,1.20769,1.19901,1.20351
2004-06-18T00:00:00Z,1.20311,1.21467,1.19725,1.21343
2004-06-19T00:00:00Z,1.21377,1.21377,1.21377,1.21377
2004-06-20T00:00:00Z,1.21377,1.21450,1.21287,1.21289
2004-06-21T00:00:00Z,1.21305,1.21441,1.20749,1.21172
2004-06-22T00:00:00Z,1.21152,1.21306,1.20652,1.21062
2004-06-23T00:00:00Z,1.21050,1.21911,1.20624,1.20793
2004-06-24T00:00:00Z,1.20750,1.21889,1.20380,1.21677
2004-06-25T00:00:00Z,1.21685,1.21781,1.21062,1.21720
2004-06-26T00:00:00Z,1.21771,1.21771,1.21771,1.21771
2004-06-27T00:00:00Z,1.21771,1.21816,1.21634,1.21659
2004-06-28T00:00:00Z,1.21641,1.22268,1.21209,1.21874
2004-06-29T00:00:00Z,1.21848,1.21865,1.20646,1.20869
2004-06-30T00:00:00Z,1.20849,1.22078,1.20630,1.21997
2004-07-01T00:00:00Z,1.21987,1.22068,1.21319,1.21618
2004-07-02T00:00:00Z,1.21629,1.23271,1.21416,1.23105
2004-07-03T00:00:00Z,1.23174,1.23174,1.23174,1.23174
2004-07-04T00:00:00Z,1.23174,1.23350,1.23093,1.23254
2004-07-05T00:00:00Z,1.23279,1.23304,1.22654,1.23033
2004-07-06T00:00:00Z,1.23027,1.23290,1.22638,1.22956
2004-07-07T00:00:00Z,1.22934,1.23879,1.22715,1.23749
2004-07-08T00:00:00Z,1.23742,1.24042,1.23386,1.23893
2004-07-09T00:00:00Z,1.23877,1.24220,1.23677,1.24104
2004-07-10T00:00:00Z,1.24148,1.24148,1.24148,1.24148
2004-07-11T00:00:00Z,1.24148,1.24180,1.24016,1.24151
2004-07-12T00:00:00Z,1.24146,1.24350,1.23795,1.23943
2004-07-13T00:00:00Z,1.23934,1.23958,1.22979,1.23247
2004-07-14T00:00:00Z,1.23235,1.24201,1.23173,1.23857
2004-07-15T00:00:00Z,1.23855,1.23861,1.23255,1.23518
2004-07-16T00:00:00Z,1.23505,1.24579,1.23269,1.24518
2004-07-17T00:00:00Z,1.24487,1.24487,1.24487,1.24487
2004-07-18T00:00:00Z,1.24487,1.24602,1.24355,1.24521
2004-07-19T00:00:00Z,1.24509,1.24609,1.23975,1.24271
2004-07-20T00:00:00Z,1.24256,1.24536,1.22981,1.23184
2004-07-21T00:00:00Z,1.23171,1.23480,1.22089,1.22572
2004-07-22T00:00:00Z,1.22556,1.22911,1.22279,1.22566
2004-07-23T00:00:00Z,1.22540,1.22673,1.20859,1.20897
2004-07-24T00:00:00Z,1.20918,1.20918,1.20918,1.20918
2004-07-25T00:00:00Z,1.20918,1.21157,1.20895,1.21046
2004-07-26T00:00:00Z,1.21067,1.21699,1.20853,1.21321
2004-07-27T00:00:00Z,1.21327,1.21890,1.20338,1.20630
2004-07-28T00:00:00Z,1.20629,1.20780,1.19972,1.20484
2004-07-29T00:00:00Z,1.20509,1.20932,1.19912,1.20361
2004-07-30T00:00:00Z,1.20349,1.21183,1.19997,1.20165
2004-07-31T00:00:00Z,1.20135,1.20135,1.20135,1.20135
2004-08-01T00:00:00Z,1.20135,1.20757,1.20135,1.20565
2004-08-02T00:00:00Z,1.20563,1.20928,1.20128,1.20200
2004-08-03T00:00:00Z,1.20207,1.20751,1.19941,1.20522
2004-08-04T00:00:00Z,1.20547,1.20659,1.19695,1.20559
2004-08-05T00:00:00Z,1.20546,1.20727,1.20189,1.20554
2004-08-06T00:00:00Z,1.20525,1.22900,1.20431,1.22784
2004-08-07T00:00:00Z,1.22790,1.22790,1.22790,1.22790
2004-08-08T00:00:00Z,1.22790,1.22883,1.22622,1.22725
2004-08-09T00:00:00Z,1.22697,1.22885,1.22444,1.22642
2004-08-10T00:00:00Z,1.22640,1.23179,1.22191,1.22334
2004-08-11T00:00:00Z,1.22339,1.22497,1.21937,1.22271
2004-08-12T00:00:00Z,1.22234,1.22948,1.22186,1.22354
2004-08-13T00:00:00Z,1.22347,1.23754,1.21750,1.23704
2004-08-14T00:00:00Z,1.23723,1.23723,1.23723,1.23723
2004-08-15T00:00:00Z,1.23723,1.23826,1.23668,1.23707
2004-08-16T00:00:00Z,1.23717,1.23780,1.23158,1.23555
2004-08-17T00:00:00Z,1.23554,1.23845,1.23096,1.23485
2004-08-18T00:00:00Z,1.23482,1.23642,1.22847,1.23376
2004-08-19T00:00:00Z,1.23347,1.23781,1.23305,1.23624
2004-08-20T00:00:00Z,1.23639,1.23804,1.22791,1.23153
2004-08-21T00:00:00Z,1.23169,1.23169,1.23169,1.23169
2004-08-22T00:00:00Z,1.23169,1.23231,1.22955,1.23099
2004-08-23T00:00:00Z,1.23124,1.23140,1.21298,1.21486
2004-08-24T00:00:00Z,1.21479,1.21656,1.20583,1.20701
2004-08-25T00:00:00Z,1.20702,1.21156,1.20504,1.20784
2004-08-26T00:00:00Z,1.20764,1.21157,1.20450,1.21069
2004-08-27T00:00:00Z,1.21047,1.21343,1.20009,1.20074
2004-08-28T00:00:00Z,1.20086,1.20086,1.20086,1.20086
2004-08-29T00:00:00Z,1.20086,1.20174,1.20007,1.20086
2004-08-30T00:00:00Z,1.20071,1.20670,1.19849,1.20458
2004-08-31T00:00:00Z,1.20439,1.21934,1.20430,1.21768
2004-09-01T00:00:00Z,1.21738,1.22198,1.21461,1.21879
2004-09-02T00:00:00Z,1.21883,1.21990,1.21392,1.21656
2004-09-03T00:00:00Z,1.21647,1.21917,1.20399,1.20558
2004-09-04T00:00:00Z,1.20532,1.20532,1.20532,1.20532
2004-09-05T00:00:00Z,1.20532,1.20688,1.20501,1.20652
2004-09-06T00:00:00Z,1.20641,1.20783,1.20449,1.20640
2004-09-07T00:00:00Z,1.20624,1.21112,1.20508,1.20850
2004-09-08T00:00:00Z,1.20835,1.21914,1.20242,1.21804
2004-09-09T00:00:00Z,1.21792,1.22481,1.21575,1.22326
2004-09-10T00:00:00Z,1.22317,1.23069,1.21974,1.22572
2004-09-11T00:00:00Z,1.22664,1.22664,1.22664,1.22664
2004-09-12T00:00:00Z,1.22664,1.22842,1.22568,1.22824
2004-09-13T00:00:00Z,1.22813,1.22865,1.22215,1.22643
2004-09-14T00:00:00Z,1.22649,1.22938,1.22236,1.22481
2004-09-15T00:00:00Z,1.22477,1.22593,1.21323,1.21463
2004-09-16T00:00:00Z,1.21455,1.21971,1.21192,1.21835
